Type;Name;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation;Location
0;Caldwell28;NGC 752;open_cluster;Winter / Hiver;12;Cassiopeia;Cassiopeia;Cassiopeia;01:57:41.00;+37:42:06.00;1300;60' x 60';NGC752.jpg;-;Cas;location/location_ngc752.png
0;NGC0884;NGC884/869;open_cluster;Autumn / Automne;3.7;Perseus;Persée;Perseus;02:19:06.0;+57:9:0.0;7640;60' x 60';NGC884.jpg;-;;
